input,domain_label,intent_label
do i have any reminders?,reminder,get reminder
i want to make french bread what do i need,recipes,get info recipes
Can you pause my timer please?,timer,pause timer
"What is the name of the woman killed in Charlottesville, VA",news,question news
Add 15 more minutes to the time,timer,add time timer
Tell me what volleyball games are happening on Thursday,event,get event
Update me on the stories from today.,news,get stories news
Don't send it to Braylen,messaging,cancel message
Tell me how much time my timer has left,timer,get timer
play Luke Combs on google play music,music,play music
What will the weather be doing this afternoon in Brighton?,weather,get weather
Continue timer for cooking,timer,resume timer
What temperature does the turkey need to be when its finished,recipes,get info recipes
Daytona events in December,event,get event
"Tell me who works in Amherst, NY",people,get contact
Do I have any reminders set for tomorrow,reminder,get reminder
could you find the words to this song,music,get lyrics music
remind me to send flowers to my mom next mothers day,reminder,create reminder
remind me to visit eye doctor Monday morning at 11am,reminder,create reminder
remove all the reminders about calling mark about the job fair,reminder,delete reminder
Set alarm for 1:00 am,alarm,create alarm
phone a sister,calling,create call
i want to see missed calls from yesterday with joey,calling,get call
Any news about the North Korea?,news,get stories news
calories in cupcakes,recipes,get info recipes
Remind me to take out the chicken tomorrow morning,reminder,create reminder
can you send that video to the playdate group,messaging,send message
I want to listen to Broadway music,music,play music
Tell me the weather in Victoria,weather,get weather
Set a timer for 8 PM on Mondays for Bachelorette showings,timer,create timer
How long until my timer ends?,timer,get timer
set up a call with Madison,calling,create call
Things to do in Seattle next week,event,get event
Delete my reminder for yoga tomorrow.,reminder,delete reminder
"Please, call my mom",calling,create call
how long do you boil corn,recipes,get info recipes
Show missed calls,calling,get call
Show me all of my upcoming alarms,alarm,get alarm
Best way to cook steak,recipes,get info recipes
What is the recipe of a chocolate milkshake,recipes,get recipes
"Text Jason, yes, thanks.",messaging,send message
how low does the humidity get this time of year,weather,get weather
When is my next alarm?,alarm,get alarm
Set an alarm every 30 minutes for 3 hours.,alarm,create alarm
call Ronald instead,calling,create call
set reminder for mother to get a spare house key made.,reminder,create reminder
change the 10 timer to a 15,timer,update timer
I want you to recommend me rugby matches for next month in Redding,event,get event
Turn the music off,music,stop music
Find me assorted seasonings,recipes,get info recipes
One minute timer please,timer,create timer
please set spotify as my default,music,set default provider music
Is Katie online?,calling,get availability
Create a go to work alarm.,alarm,create alarm
How long has Lance worked for Novak?,people,get employment time
The pool pump should shut off in 30 min. please set the timer so I can make sure,timer,create timer
Things to do in Montgomery Alabama,event,get event
open Pandora and play Nirvana on shuffle,music,start shuffle music
Reminds me to have coffee with Sandy next Sunday morning,reminder,create reminder
Add five minutes on to my work out timer.,timer,add time timer
Please read and news headlines,news,get stories news
Can I omit the salt in chocolate chip cookies,recipes,is true recipes
Should I drain the pasta before mixing in the sauce,recipes,is true recipes
Repeat last track six times,music,loop music
call Gaynell Curo 's niece,calling,create call
What temperature for a chocolate cake to back at,recipes,get info recipes
Find vegan entree recipes,recipes,get recipes
How to make a turkey,recipes,get recipes
Who works at TCBY?,people,get contact
is it still drought warnings in the area?,weather,get weather
launch a plan,reminder,create reminder
delete my alarm for lunch,alarm,delete alarm
record video message on work for Refugia Kroesing,messaging,send message
what are video messages from my brother,messaging,get message
Play something like Upchurch,music,play music
call Whatsapp Gunnar,calling,create call
can i cook chicken medium rare,recipes,is true recipes
Should I wear my rain jacket today?,weather,get weather
Is it going to be chilly tonight?,weather,get weather
Show me the list of reminders I have,reminder,get reminder
message a video to Dylan,messaging,send message
What is happening tonight in Boston at 10PM,event,get event
Who do you work for?,people,get employer
Who is Chris Bowser?,people,get info contact
does al work,people,get employer
Remind me to study tonight,reminder,create reminder
can you please send message to the code blue group,messaging,send message
Show me my next reminder for today,reminder,get reminder
start a call with stepsisters,calling,create call
tell me tomorrow's reminders,reminder,get reminder
please don't pick that up for me,calling,ignore call
pause alarm for 19 minutes,alarm,snooze alarm
When did Marie start working for her current job?,people,get employment time
Make an alarm for tomorrow midnight.,alarm,create alarm
Remind me to grade the assignments tomorrow afternoon.,reminder,create reminder
add twenty minutes to cole's time out timer,timer,add time timer
Have Kelly taken off the group call,calling,update call
delete the reminder to call my mom tomorrow.,reminder,delete reminder
which of my friends have birthdays in June?,people,get contact
Should I boil the water before adding the pasta,recipes,is true recipes
start playing my misfits pandora station,music,play music
How do I make my own yogurt,recipes,get recipes
What temperature do you fry chicken,recipes,get info recipes
Send a message to my husband please!,messaging,send message
please play beyonce's lemonade,music,play music
Text Lizz and ask her where she is in sangertown,messaging,send message
I need a reminder to look for a place for Aubrey's birthday party,reminder,create reminder
Drop Samuel from this call,calling,update call
Remind me to apply for the internship at Facebook before the weekend starts.,reminder,create reminder
Is there a state of the union address tonight,news,question news
What are the ingredients in tartar sauce,recipes,get info recipes
Set an alarm for 4:45 am,alarm,create alarm
Who is singing,music,get track info music
please read the recipe,recipes,get recipes
What is the visibility like outside?,weather,get weather
Next week's forecast,weather,get weather
How many calories are in chicken fried steak,recipes,get info recipes
give me an news update on charlottesville,news,get stories news
Weather forecast for 9th of May,weather,get weather
remind me to buy school supplies before august,reminder,create reminder
Cancel all my timers.,timer,delete timer
